# packages in environment at /home/cqr3/miniconda3/envs/cqr3_py:
#
# Name                    Version                   Build  Channel
libevent                  2.1.10               h9b69904_4    conda-forge
libffi                    3.4.2                h6a678d5_6  
libflac                   1.4.2                h27087fc_0    conda-forge
libgcc                    15.1.0               h767d61c_2    conda-forge
libgcc-ng                 15.1.0               h69a702a_2    conda-forge
libgfortran-ng            12.2.0              h69a702a_19    conda-forge
libgfortran5              12.2.0              h337968e_19    conda-forge
libglib                   2.74.1               h606061b_1    conda-forge
libhwloc                  2.8.0                h32351e8_1    conda-forge
libiconv                  1.17                 h166bdaf_0    conda-forge
liblapack                 3.9.0            12_linux64_mkl    conda-forge
libllvm11                 11.1.0               he0ac6c6_5    conda-forge
libllvm14                 14.0.6               he0ac6c6_1    conda-forge
libnghttp2                1.51.0               hdcd2b5c_0    conda-forge
libnsl                    2.0.0                h7f98852_0    conda-forge
libogg                    1.3.4                h7f98852_1    conda-forge
libopus                   1.3.1                h7f98852_1    conda-forge
libpng                    1.6.37               hbc83047_0    anaconda
libpq                     14.5                 h72a31a5_3    conda-forge
libsndfile                1.1.0                hcb278e6_1    conda-forge
libsodium                 1.0.18               h7b6447c_0    anaconda
libsqlite                 3.40.0               h753d276_0    conda-forge
libssh2                   1.10.0               haa6b8db_3    conda-forge
libstdcxx                 15.1.0               h8f9b012_2    conda-forge
libstdcxx-ng              12.2.0              h46fd767_19    conda-forge
libtiff                   4.4.0                h82bc61c_5    conda-forge
libtool                   2.4.7                h27087fc_0    conda-forge
libudev1                  252                  h166bdaf_0    conda-forge
libuuid                   2.32.1            h7f98852_1000    conda-forge
libvorbis                 1.3.7                h9c3ff4c_0    conda-forge
libwebp-base              1.2.4                h166bdaf_0    conda-forge
libxcb                    1.13              h7f98852_1004    conda-forge
libxkbcommon              1.0.3                he3ba5ed_0    conda-forge
libxml2                   2.10.3               h7463322_0    conda-forge
libzlib                   1.2.13               h166bdaf_4    conda-forge
llvm-openmp               15.0.7               h0cdce71_0    conda-forge
llvmlite                  0.39.1          py310h58363a5_1    conda-forge
markdown                  3.4.1                    pypi_0    pypi
markupsafe                2.1.1           py310h7f8727e_0    anaconda
matplotlib-base           3.6.2           py310h8d5ebf3_0    conda-forge
matplotlib-inline         0.1.2              pyhd3eb1b0_2    anaconda
metis                     5.1.0             h58526e2_1006    conda-forge
mistune                   0.8.4           py310h7f8727e_1000    anaconda
mkl                       2021.4.0           h06a4308_640  
mkl-service               2.4.0           py310h7f8727e_0  
mkl_fft                   1.3.1           py310hd6ae3a3_0  
mkl_random                1.2.2           py310h00e6091_0  
mpfr                      4.1.0                h9202a9a_1    conda-forge
mpg123                    1.31.1               h27087fc_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
mysql-common              8.0.31               haf5c9bc_0    conda-forge
mysql-libs                8.0.31               h28c427c_0    conda-forge
natsort                   8.2.0              pyhd8ed1ab_0    conda-forge
nbclassic                 0.3.5              pyhd3eb1b0_0    anaconda
nbclient                  0.5.13          py310h06a4308_0    anaconda
nbconvert                 6.4.4           py310h06a4308_0    anaconda
nbformat                  5.3.0           py310h06a4308_0    anaconda
ncurses                   6.3                  h5eee18b_3  
nest-asyncio              1.5.5           py310h06a4308_0    anaconda
networkx                  3.0                pyhd8ed1ab_0    conda-forge
notebook                  6.4.12          py310h06a4308_0    anaconda
nspr                      4.35                 h27087fc_0    conda-forge
nss                       3.82                 he02c5a1_0    conda-forge
numba                     0.56.4          py310ha5257ce_0    conda-forge
numexpr                   2.8.4           py310h8879344_0  
numpy                     1.23.5          py310hd5efca6_0  
numpy-base                1.23.5          py310h8e6c178_0  
openjpeg                  2.5.0                h7d73246_1    conda-forge
openssl                   1.1.1w               hd590300_0    conda-forge
packaging                 22.0            py310h06a4308_0  
pandas                    1.5.2           py310h1128e8f_0  
pandocfilters             1.5.0              pyhd3eb1b0_0    anaconda
panel                     0.14.2                   pypi_0    pypi
param                     1.12.3                   pypi_0    pypi
parso                     0.8.3              pyhd3eb1b0_0    anaconda
patsy                     0.5.3              pyhd8ed1ab_0    conda-forge
pcre                      8.45                 h295c915_0    anaconda
pcre2                     10.40                hc3806b6_0    conda-forge
pexpect                   4.8.0              pyhd3eb1b0_3    anaconda
pickleshare               0.7.5           pyhd3eb1b0_1003    anaconda
pillow                    9.2.0           py310h454ad03_3    conda-forge
pip                       22.3.1          py310h06a4308_0  
plotly                    5.15.0                   pypi_0    pypi
ply                       3.11                       py_1    conda-forge
pooch                     1.6.0              pyhd8ed1ab_0    conda-forge
prometheus_client         0.14.1          py310h06a4308_0    anaconda
prompt-toolkit            3.0.20             pyhd3eb1b0_0    anaconda
prompt_toolkit            3.0.20               hd3eb1b0_0    anaconda
psutil                    5.9.7           py310h2372a71_0    conda-forge
pthread-stubs             0.4               h36c2ea0_1001    conda-forge
ptyprocess                0.7.0              pyhd3eb1b0_2    anaconda
pulseaudio                14.0                habe0971_10    conda-forge
pure_eval                 0.2.2              pyhd3eb1b0_0    anaconda
pycparser                 2.21               pyhd3eb1b0_0    anaconda
pyct                      0.4.8                    pypi_0    pypi
pygments                  2.11.2             pyhd3eb1b0_0    anaconda
pynndescent               0.5.8              pyh1a96a4e_0    conda-forge
pyopenssl                 22.0.0             pyhd3eb1b0_0    anaconda
pyparsing                 3.0.9              pyhd8ed1ab_0    conda-forge
pyqt                      5.15.7          py310h29803b5_2    conda-forge
pyqt5-sip                 12.11.0         py310hd8f1fbe_2    conda-forge
pyrsistent                0.18.0          py310h7f8727e_0    anaconda
pysocks                   1.7.1           py310h06a4308_0    anaconda
python                    3.10.8          h257c98d_0_cpython    conda-forge
python-dateutil           2.8.2              pyhd3eb1b0_0  
python-fastjsonschema     2.15.1             pyhd3eb1b0_0    anaconda
python-igraph             0.10.3          py310hc734324_0    conda-forge
python_abi                3.10                    3_cp310    conda-forge
pytz                      2022.7          py310h06a4308_0  
pyviz-comms               2.2.1                    pypi_0    pypi
pyyaml                    6.0                      pypi_0    pypi
pyzmq                     23.2.0          py310h6a678d5_0    anaconda
qt-main                   5.15.6               hc525480_0    conda-forge
qtconsole                 5.3.1           py310h06a4308_1    anaconda
qtpy                      2.0.1              pyhd3eb1b0_0    anaconda
readline                  8.2                  h5eee18b_0  
requests                  2.28.1          py310h06a4308_0    anaconda
sam-algorithm             1.0.2                    pypi_0    pypi
samap                     1.0.12                   pypi_0    pypi
scanpy                    1.9.1              pyhd8ed1ab_0    conda-forge
scikit-learn              1.2.0           py310h209a8ca_0    conda-forge
scipy                     1.10.0          py310h8deb116_0    conda-forge
seaborn                   0.12.2               hd8ed1ab_0    conda-forge
seaborn-base              0.12.2             pyhd8ed1ab_0    conda-forge
selenium                  3.141.0         py310h6acc77f_1003    conda-forge
send2trash                1.8.0              pyhd3eb1b0_1    anaconda
session-info              1.0.0              pyhd8ed1ab_0    conda-forge
setuptools                65.6.3          py310h06a4308_0  
sip                       6.7.5           py310hd8f1fbe_0    conda-forge
six                       1.16.0             pyhd3eb1b0_1  
sniffio                   1.2.0           py310h06a4308_1    anaconda
soupsieve                 2.3.1              pyhd3eb1b0_0    anaconda
sqlite                    3.40.1               h5082296_0  
stack_data                0.2.0              pyhd3eb1b0_0    anaconda
statsmodels               0.13.5          py310hde88566_2    conda-forge
stdlib-list               0.8.0              pyhd8ed1ab_0    conda-forge
suitesparse               5.10.1               h9e50725_1    conda-forge
tbb                       2021.7.0             h924138e_1    conda-forge
tenacity                  8.2.2                    pypi_0    pypi
terminado                 0.13.1          py310h06a4308_0    anaconda
testpath                  0.6.0           py310h06a4308_0    anaconda
texttable                 1.6.7              pyhd8ed1ab_0    conda-forge
threadpoolctl             3.1.0              pyh8a188c0_0    conda-forge
tk                        8.6.12               h1ccaba5_0  
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
tornado                   6.1             py310h7f8727e_0    anaconda
tqdm                      4.64.1             pyhd8ed1ab_0    conda-forge
traitlets                 5.1.1              pyhd3eb1b0_0    anaconda
typing-extensions         4.3.0           py310h06a4308_0    anaconda
typing_extensions         4.3.0           py310h06a4308_0    anaconda
tzdata                    2022g                h04d1e81_0  
umap-learn                0.5.3           py310hff52083_0    conda-forge
unicodedata2              15.0.0          py310h5764c6d_0    conda-forge
urllib3                   1.26.11         py310h06a4308_0    anaconda
wcwidth                   0.2.5              pyhd3eb1b0_0    anaconda
webencodings              0.5.1           py310h06a4308_1    anaconda
websocket-client          0.58.0          py310h06a4308_4    anaconda
wheel                     0.37.1             pyhd3eb1b0_0  
widgetsnbextension        3.5.2           py310h06a4308_0    anaconda
xcb-util                  0.4.0                h166bdaf_0    conda-forge
xcb-util-image            0.4.0                h166bdaf_0    conda-forge
xcb-util-keysyms          0.4.0                h166bdaf_0    conda-forge
xcb-util-renderutil       0.3.9                h166bdaf_0    conda-forge
xcb-util-wm               0.4.1                h166bdaf_0    conda-forge
xorg-libxau               1.0.9                h7f98852_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xz                        5.2.8                h5eee18b_0  
zeromq                    4.3.4                h2531618_0    anaconda
zipp                      3.11.0             pyhd8ed1ab_0    conda-forge
zlib                      1.2.13               h166bdaf_4    conda-forge
zstd                      1.5.2                h6239696_4    conda-forge
